Booking Information,Booking Information
View Bookings,View Bookings
No slot available,No slot available
Slot quantity not available,Slot quantity not available
Slot has Quantity, Slot has Quantity
Slot Quantity, Slot Quantity
"Prevent Booking Before (Days)", "Prevent Booking Before (Days)"
Yes, Yes
No, No
"%1 can only be Booked before %2 day(s) from today.", "%1 can only be Booked before %2 day(s) from today."
There was some error while processing your request,There was some error while processing your request
Disable ,Disable
Many booking in one day,Many booking in one day
One booking for many days,One booking for many days
Start Date of Booking,Start Date of Booking
End Date of Booking,End Date of Booking
Time Slot (In Minutes),Time Slot (In Minutes)
Break Between Bookings,Break Between Bookings
"Day ","Day"
Start Time,Start Time
End Time,End Time
"Status ","Status"
Open,Open
Close,Close
Add Bookings,Add Bookings
Book Now,Book Now
Date,Date
Slot Time,Slot Time
No. of Slots,No. of Slots
Booking System,Booking System
Book,Book
"Are you Sure you Want To remove this slot","Are you Sure you Want To remove this slot"
"Booking From","Booking From"
"Booking Till","Booking Till"
"Booking Time Expired","Booking Time Expired"
"Can not configure booking.","Can not configure booking."
View,View
"Select time slot for booking","Select time slot for booking"
"Available Slots","Available Slots"
"Unavailable Slots","Unavailable Slots"
"Booked Slots","Booked Slots"
Summary ,Summary
"* Required Fields","* Required Fields"
"Please enter today's date or future date.","Please enter today's date or future date."
"Please enter a value greater than 0","Please enter a value greater than 0"
"Please enter a numeric value and is greater than 0","Please enter a numeric value and is greater than 0"
"Quantity not available for this slot","Quantity not available for this slot"
Selected,Selected
"your need","your need"
Slot,Slot
"Your Need","Your Need"
"Available :","Available :"
"Booking Id","Booking Id"
"Order Ref.","Order Ref."
Name,Name
"Customer Email","Customer Email"
"Customer Name","Customer Name"
"Payment Method","Payment Method"
Subtotal,Subtotal
January,January
February,February
March,March
April,April
May,May
June,June
July,July
August,August
September,September
October,October
November,November
December,December
Mon,Mon
Tue,Tue
Wed,Wed
Thu,Thu
Fri,Fri
Sat,Sat
Sun,Sun
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
Sunday,Sunday
"Bookings System","Bookings System"
"Notation","Notation"
"Action","Action"
"Booking Product","Booking Product"
Menu,Menu
Support,Support
"User Guide","User Guide"
"Store Extension","Store Extension"
Ticket/Customisations,Ticket/Customisations
"Our Services","Our Services"
Reviews,Reviews
"slot is selected for booking between", "slot is selected for booking between"
"to", "to"
